"EShop SUT - GUI & Usability Testing Summary (Google Chrome)"
"Tester:","Bùi Dương Duy Cường (23127033)"
"Date:","2026-08-01"
"Total Test Cases:","60"
"Passed:","41"
"Failed:","19"
"Pass Rate:","68.3%"
""
"ID","Aspect","Screen","Description","Expected Result","Status","Notes"
"TC-IA01-001","IA-01: General UI","All Screens","Tính nhất quán của ngôn ngữ hiển thị (Bilingual consistency) và font chữ trên toàn trang web.","Hệ thống hiển thị đồng bộ bằng một ngôn ngữ (Tiếng Việt), không xen lẫn tiếng Anh.","Failed","BUG-FR-01-004: Giao diện đa ngôn ngữ hiển thị không nhất quán (lúc Tiếng Anh, lúc Tiếng Việt). [GitHub Issue](https://github.com/iamDicun/Group06_HW2_Testing/issues/120)"
"TC-IA01-002","IA-01: General UI","All Screens","Tính nhất quán của bảng màu chủ đạo (Blue-600) theo thiết kế thương hiệu.","Các nút bấm chính sử dụng màu xanh chủ đạo, không pha trộn màu lạ.","Failed","BUG-FR-01-001: Nút submit Đăng ký có màu đỏ (bg-red-500) không nhất quán với màu xanh chủ đạo. [GitHub Issue](https://github.com/iamDicun/Group06_HW2_Testing/issues/110)"
"TC-IA01-003","IA-01: General UI","All Screens","Độ tương phản màu sắc giữa chữ và nền (WCAG 2.0).","Đạt tỷ lệ tương phản tối thiểu 4.5:1 để dễ đọc.","Passed",""
"TC-IA01-004","IA-01: General UI","Cart","Tính gộp nhóm và bố cục hiển thị của danh sách các sản phẩm cùng loại trong giỏ hàng.","Các sản phẩm cùng loại được gộp chung thành một dòng và cộng dồn số lượng.","Failed","BUG-FR-07-004: Các sản phẩm cùng loại khi thêm nhiều lần không gộp chung số lượng mà hiển thị rời rạc. [GitHub Issue](https://github.com/iamDicun/Group06_HW2_Testing/issues/125)"
"TC-IA01-005","IA-01: General UI","All Screens","Khả năng co giãn giao diện (Responsiveness) trên thiết bị di động.","Giao diện tự động co giãn không bị vỡ khung hoặc mất chữ.","Passed",""
"TC-IA01-006","IA-01: General UI","All Screens","Đường dẫn Logo ở Header chuyển hướng về trang chủ.","Bấm vào logo 'EShop' trên header luôn quay về trang chủ '/'.","Passed",""
"TC-IA01-007","IA-01: General UI","All Screens","Tính đồng bộ của Header và Footer trên toàn bộ trang web.","Header và Footer hiển thị nhất quán trên mọi route.","Passed",""
"TC-IA01-008","IA-01: General UI","All Screens","Trạng thái hover của các đường liên kết và các nút nhấn.","Con trỏ chuột đổi thành dạng bàn tay khi hover qua link/nút.","Passed",""
"TC-IA01-009","IA-01: General UI","All Screens","Tỷ lệ khung hình và độ sắc nét của hình ảnh sản phẩm.","Hình ảnh hiển thị đúng tỷ lệ, không bị kéo dẹt hay mờ.","Passed",""
"TC-IA01-010","IA-01: General UI","All Screens","Tốc độ tải tài nguyên hình ảnh tối ưu hóa.","Ảnh dung lượng nhẹ, tải nhanh không gây trễ trang.","Passed",""
